Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Links,Condition,Service Lines,Facilities
House,Stone,420 sq.m.,3,5,3+,Designer Renovation,650 sq.m.,Kotayk › Tsakhkadzor,"160,000 ֏ daily",AMD,12 people**5 bedrooms3 bathroomsliving room2 kitchensLuxurious poolShower bathbarbecue**check in 14:00:Check out 12:00:Code vil-monaTranslated from Armenian,Nov-24-2022_22-33,Available,2 spots,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/17146981,,,
House,Stone,72 sq.m.,2,2,1,Designer Renovation,86 sq.m.,Kotayk › Tsakhkadzor,"25,000 ֏ daily",AMD,"When ringing - Mike Deluxe:The private house is located in Tsakhkadzor. It has 2 bedrooms, a bathroom, a kitchen and a heating system. There is a barn in the yard.Code May-akTranslated from Armenian",Nov-24-2022_22-33,Available,Not available,,,4,Yes,No,By Agreement,By Agreement,https://list.am/en/item/17139461,,,
Country House,Stone,300 sq.m.,3,5,3+,Major Renovation,,Kotayk › Arzakan,"8,000 ֏ daily",AMD,"The guest house is located in Arzakan village, near Bjni and Aghveran recreation areas.For questions, please call the indicated phone number.There are individual bedrooms for rent:4 bedrooms with private toilets, bath and bedding1 private room with private entrance, balcony, bath and toilet2 bathroomsKitchen (dishes)Dining roomOpen balconyConstant water and heatingGarden:BarbecueNear the guest house are:Arzakan natural hot springs, which have healing propertiesSurb Astvatsatsin Monastery in BjniBjni Fortress (11th century)Aghveran recreation areaThe guest house is completely renovatedThe guest house can also be rented in full.For reservation and cost information, please call the listed numbersTranslated from Armenian",Nov-24-2022_22-33,Available,3 or more spots,,,8+,Yes,Yes,Included,By Agreement,https://list.am/en/item/12906099,,,
House,Stone,280 sq.m.,2,5,2,Partial Renovation,1200 sq.m.,Kotayk › Garni,"30,000 ֏ daily",AMD,"Посуточно сдается двухэтажный частный дом в селе Гарни.С ночевкой и без.В доме 4 спальни, 2 санузла, бассейн, сауна, бильярд, теннис, качели, телевизор, WI FI.Լողավազանի չափը 4x8,5x1,62 և ավելի օրվա համար մինչև 6 հոգին 30000 դրամ։Մինչև 6 հոգին 1 օրը 40000 դրամ։Մինչև 10 հոգին 50000 դրամ։10 - 15 հոգին 60000 դրամ։Հանգստի գոտի",Nov-24-2022_22-33,Available,3 or more spots,"TElevision, internet, swimming pool, sauna, fireplace, barbecue oven, billiard","FRidge, stove, water heater, iron",8+,Yes,No,Included,By Agreement,https://list.am/en/item/17876125,,,
House,Monolith,280 sq.m.,3,5,3+,Euro Renovation,800 sq.m.,"32-я улица Дзорахбюра 1, Дзорахбюр","$4,500 monthly",USD,"Сдается в аренду 2,5 этажный особняк в Дзорахбюре, все удобства, 4 спальни, 3 санузла, 2 бассейна, сауна, двор ухоженный, беседка, гриль камин. Место паркинга, с мебелью и техникой. Минимум на 6 месяцев и более.",Nov-24-2022_22-33,,,,,5,Yes,Yes,Not included,1 month,https://list.am/en/item/14635920,,,
Country House,Monolith,1500 sq.m.,2,6,2,Designer Renovation,500 sq.m.,Kotayk › Tsakhkadzor,"130,000 ֏ daily",AMD,"Վիլլա օրավարձով 2 հարկանի առանձնատուն բիլյարդ Ծաղկաձորում5 ննջարան,2 սանհանգույց,Մանղալ,WI-FI + TV Ucomբիլյարդսպասք,անկողնային պարագաներ,օդորակիչ,տաղավար 20 անձի համար15 անձի գիշերակացԳինը պայմանագրային կախված օրերի և անձերի քանակից։երկուշաբթի-հինգշաբթի՝ 120.000ուրբաթ -կիրակի՝ 130000Կոդ A-034",Nov-24-2022_22-33,Available,3 or more spots,,,8+,Yes,Yes,Not included,By Agreement,https://list.am/en/item/15822779,,,
House,Monolith,258 sq.m.,2,5,3+,Designer Renovation,550 sq.m.,"Այգեգործական 10-րդ փողոց 19, Ջրվեժ",$400 daily,USD,"ԿՈԴ VJ555Հասցե։ Ջրվեժ, Այգեգործական փողոց։Վարձով է տրվում Ինքնատիպ, նրբաճաշակ դիզայնով, հրաշալի դիրքով և գեղեցիկ տեսարանով 2 հարկանի՝ 5 սենյականոց, բացօթյա Լողավազանով, ամառային զրուցարանով, բուխարիով, 2 պատշգամներով Ընդարձակ առանձնատուն Կոտայքի մարզում՝ Ջրվեժում` Այգեգործական փողոց։==== (2 հարկ, 258ք/մ բնակելի, + 550ք/մ հողատարածք, 5 սենյակ) ====Առանձնատանը առկա են բոլոր անհրաժեշտ կոմունալ հարմարությունները՝• Մշտական տաք և սառը ջուր,• Գազօջախ, գազի վառարան,• Ջեռուցումը և հովացումը կենտրոնացված,• TV, Internet Wi-Fi, կոնդիցիոներ,• Սառնարան, ավտոմատ լվացքի մեքենա,• Աման լվանալու մեքենա,• Սպասք, սպիտակեղեն,• Հեռակառավարվող դարպասներ, 4 մեքենայի համար կայանատեղի,• 2 պատշգամբ, Ազդանշանային համակարգ։1-ին հարկ - Հյուրասենյակ, խոհանոց, սանհանգույց, 1 ննջասենյակ՝ իր լոգասենյակով, 2 խորդանոց,2-րդ հարկ - նախասրահ, 3 ննջասենյակ, որից մեկն ունի իր լոգասենյակը և բացօթյա պատշգամբը, մյուս ննջասենյակն ունի ֆրանսիական պատշգամբ,Ընդհանուր հարկում առկա է 1 լոգասենյակ։ Առանձնատունն ունի 4 մեքենայի համար ավտոկայանատեղի, բացօթյա Լողավազան, ամառային զրուցարան, բուխարի։==== Ամսական 3500-7000$ ======== Օրական՝ 350-550$ ====Հարգելի Հաճախորդ Մեզ հետ կարող եք կապնվել նաև`Viber, WhatsApp, Telegram // ԱրթուրCODE VJ555/ Jrvezh, Aygegortsakan street, 4 bedrooms Unique, Luxury, Spacious, 2 floors house with an outdoor swimming pool, summer pavilion, fireplace and with 2 open balcionies with a beautiful view. The house is in a wonderful position.==== (2 floor, 258 sq/m residential, + 550 sq/m land, 4 bedrooms) ====The house is equipped with modern amenities.There are all communal facilities:• Hot and Cold water all day long,• Gas stove, Oven,• Centralized heating and cooling system,• TV, Internet Wi-Fi, Condicioner,• Refrigerator, Washing Machine• Dishwasher, Linen, Utensil• Gates with remote control, PARKING for 4 cars,• 2 Balconies, Alarm system.1st floor - Leaving room, kitchen, bathroom, 1 bedroom with it's bathroom, 2 closets,2nd floor - Entrance hall, 3 bedrooms, one of which has its own bathroom and open balcony, the other bedroom has a French balcony,There is 1 bathroom in the common floor. The house has a parking for 4 cars, has an outdoor swimming pool, a summer pavilion, a fireplace.==== Price per mounth 3500-7000$ ======== For daily rent 350-550$ =====Dear Customer, You can communicate with Us byViber, WhatsApp, Telegram // ArturInstagram։ rent_house_yerevanFacebook։ rent_house_yerevan",Nov-24-2022_22-33,Available,2 spots,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/16720974,,,
House,Stone,50 sq.m.,4+,8+,2,Designer Renovation,450 sq.m.,"Սարալանջի փողոց 15, Ծաղկաձոր","260,000 ֏ monthly",AMD,"ATTENTION: THE APARTMENT WILL BE VACATED ON DECEMBER 1A 3-storey newly built (built in 2021) detached house is for rent in Tsaghkadzor, each floor has 1 2-room apartment (50 square meters) with separate entrances and all utilities / TV / WiFi / washing machine / gas boiler / parking / new modern furniture / dishes / courtyard / open balcony on every floor / balcony / grill / chat room. 1 apartment can accommodate m. Play up to 5 people at the same time. The apartment is located next to the Ropeway. In case of more detailed questions, you can call or write in viber, there is a video version, I will send it, you can watch it.Translated from Armenian",Nov-24-2022_22-33,Available,3 or more spots,,,6,Yes,Yes,Not included,By Agreement,https://list.am/en/item/16341601,,,
House,Stone,45 sq.m.,4+,8+,2,Designer Renovation,300 sq.m.,Kotayk › Tsakhkadzor,"260,000 ֏ monthly",AMD,"ATTENTION: THE APARTMENT WILL BE VACATED ON NOVEMBER 1A 2-storey newly built (built in 2021) detached house is for rent in Tsaghkadzor, each floor has 1 2-room apartment (45 square meters) with separate entrances and all utilities / TV / WiFi / washing machine / gas boiler / parking / new modern furniture / dishes / courtyard / open balcony on every floor / balcony / grill / chat room. 1 apartment can accommodate m. Play up to 5 people at the same time. The apartment is located next to the Ropeway. In case of more detailed questions, you can call or write in viber, there is a video version, I will send it, you can watch it.Translated from Armenian",Nov-24-2022_22-33,Available,3 or more spots,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/15503088,,,
House,Stone,240 sq.m.,2,3,3+,Designer Renovation,1000 sq.m.,Kotayk › Tsakhkadzor,"$3,900 monthly",USD,"A private house in Tsaghkadzor is provided for a monthly fee, which has 3 bedrooms, each room has a bathroom and one bathroom on the first floor, 2 full kitchens with necessary appliances and a spacious living room with a comfortable seating area and a fireplace. For details, please call:Code MonSantaTranslated from Armenian",Nov-24-2022_22-33,Available,1 spot,,,5,Yes,No,By Agreement,By Agreement,https://list.am/en/item/18375041,,,
Country House,Stone,700 sq.m.,2,3,2,Euro Renovation,700 sq.m.,"Կոտայքի փողոց 35, Բյուրեղավան","30,000 ֏ daily",AMD,"A summer house is for daily rent. The summer house has two pavilions (bissetka), a barbecue, a swimming pool, (1.60,5,2.45) a garden, two bathrooms, gas, water, light, dynamic, two refrigerators. Hot water is provided for up to 15 people. (Zero-seven-seven-twelve-seven-eight-twenty)Translated from Armenian",Nov-24-2022_22-33,Available,1 spot,,,8+,Yes,Yes,Not included,Without prepayment,https://list.am/en/item/17433154,,,
House,Stone,150 sq.m.,2,3,2,Major Renovation,300 sq.m.,"Վլադիմիր Հարությունյան փողոց 11/26, Ծաղկաձոր","50,000 ֏ daily",AMD,"Roberto 1 - Mansion in Tsakhkadzor——* 3 bedrooms* 2 bathrooms* Large living room + fireplace* kitchen* bathroom* green yard* barbecue——* 7 people——Admission: 14:00Departure: 12:00——For details, call, when calling, mention Roberto 1...-Tsakhkadzordaily rentprivate houserent housesreal estaterenthousesfor daily rentNew YearNew YearCode Roberto1Translated from Armenian",Nov-24-2022_22-33,Available,Not available,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/16836360,,,
House,Stone,205 sq.m.,2,4,2,Designer Renovation,350 sq.m.,"Պահլավունյաց փողոց 11, Ծաղկաձոր","140,000 ֏ daily",AMD,"Monte Carlo - Mansion in Tsakhkadzor——* swimming pool* sauna* Billiards* 4 bedrooms* 2 bathrooms* living room* pavilion* green yard* barbecue* hydromassage bath——* 8-12 people——Admission: 14:00Departure: 12:00——Call for details, mention Monte Carlo when calling...——Tsakhkadzordaily rentprivate househouses for rentreal estaterenthousesfor daily rentCode MonteCarTranslated from Armenian",Nov-24-2022_22-33,Available,Not available,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/16797380,,,
House,Stone,75 sq.m.,1,2,1,Euro Renovation,104 sq.m.,"Orbeli Brothers street 12, Ծաղկաձոր","18,000 ֏ daily",AMD,"Vulcane - House in Tsakhkadzor——* 2 bedrooms* living room* kitchen* bathroom* pavilion person* barbecue——The house is located in Tsakhkadzor, has 2 bedrooms, a living room, a bathroom, a kitchen. Equipped with all utilities. There is a pavilion and a barbecue in the yard.——* 5-6 people——Admission: 14:00Departure: 12:00——Call for details, mention Vulcane when calling...——Tsakhkadzordaily rentprivate househouses for rentreal estaterenthousesfor daily rentTranslated from Armenian",Nov-24-2022_22-33,Available,Not available,,,6,Yes,No,Included,By Agreement,https://list.am/en/item/16795686,,,
Country House,Stone,380 sq.m.,2,5,3+,Major Renovation,1200 sq.m.,"Պարույր Սևակ թաղամաս 2-րդ փողոց 34, Առինջ","80,000 ֏ daily",AMD,"$3000 per monthA bright, spacious, two-story private house with a beautiful green garden is for daily rent in Arinj.The mansion has:5 bedrooms3 bathroomsGymLounge area with fireplaceSauna/plunge poolAll necessary appliances and furniture are availableA large orchardOutdoor swimming poolSpacious pavilionGrill and toast for cookingPrice on weekdays:60,000 drams for the gardenThe mansion and the garden 80,000 dramsThe mansion and the garden are 100,000 AMD per nightCost: Weekends700,000 drams for the gardenThe mansion and the garden 90,000 dramsThe mansion and the garden are 120,000 AMD per nightTranslated from Armenian",Nov-24-2022_22-33,Available,2 spots,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/17956215,,,
