Type,Land Area,Service Lines,Address,Price,Currency,Description,Datetime,Links
Agricultural,800 sq.m.,,Armavir › Arevashat,"$2,000",USD,"Land for sale in Arevshat village of Etchmiadzin (arable land), it has water nearby, it is privatized, the price is negotiableTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18088420
For Residential Development,400 sq.m.,,Armavir › Armavir,"1,500,000 ֏",AMD,"Продам земельный участок для жилой застройки по адресу г. Армавир (Октемберян), Баграмян ""А"" квартал (թաղամաս) №127 участок. Никаких рассрочек, кредитов, обменов. Документы (с нулевой справкой) все готовы для продажи. Позвонить только реальным покупателям. Небольшой торг уместен. Срочно! . Собственник! .",Dec-12-2022_18-19,https://list.am/en/item/17516754
For Residential Development,1000 sq.m.,,"Erevanyan street 11, Jrarat","$15,000",USD,Land for sale G. There is a half-built apartment in Jrarat (Etchmiadzin Station) For more information call.Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/17893007
Agricultural,9500 sq.m.,,"20-րդ փողոց 22, Արշալույս","3,000,000 ֏",AMD,Paid vineyard 9500 m. Negotiable in Arshaluys village. It has no problem with water.Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18380322
For Residential Development,214 sq.m.,,"Erevanyan street, Parakar","$58,000",USD,"First line, exchange is also possible, I will listen to offers.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18435577
For Residential Development,405 sq.m.,,Armavir › Echmiadzin,"$23,000",USD,"Продается земельный участок площадью 405 кв. М, рядом со спортивной школой, Чаренца земельный участок номер 529,земля притизированная, коммуникации рядом, Реальному покупателю -реальный торг.Также рассматривается обмен на автомобиль.",Dec-12-2022_18-19,https://list.am/en/item/18260988
Agricultural,5000 sq.m.,,Armavir › Echmiadzin,"$7,500",USD,"There is drinking water in the area, very close to it, very urgent.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17123879
Agricultural,8000 sq.m.,,Armavir › Echmiadzin,"$30,000",USD,"Peach orchard for sale, new orchard, 3 years old, Etchmiadzin city. Gardening.There is no water problem, the canal runs right past the soilThere are 370 trees (mashtos variety) in the park.The trees are 3 years old and will be fully harvested next year. All treatments are doneCall for details (quick negotiable)Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18164333
For Residential Development,1660 sq.m.,,Armavir › Aknashen,"$12,000",USD,"Land near the house is for sale in the village of Aknashen, address: 8th street, plot 16. In case of any questions, please call the indicated number.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17647961
Agricultural,6100 sq.m.,,Armavir › Aygek,"$30,000",USD,"An orchard is for sale. There are apple, peach, apricot (other types), walnut, almond and other trees in the garden.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17499241
Agricultural,1500 sq.m.,,Armavir › Merdzavan,"$7,500",USD,"The land is located right next to Merdzavan, 100 m from the main road. In the distance. Suitable for agricultural work.Irrigation water is available. It is possible to make the land close to the house. Without a mediator. The price is adjustable.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17309523
Agricultural,2400 sq.m.,,Armavir › Aknashen,"16,000,000 ֏",AMD,"Greenhouse for sale, has water, electricity, gas possibility. Neighborhood square, 2400 m, greenhouse 1500 meters.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17489475
For Residential Development,405 sq.m.,,Armavir › Echmiadzin,"$11,000",USD,"I am selling a plot of land, Echmiadzin, Charents number 121.The plot is located on the penultimate left side of the road to Atarbekyan.Approximately 450 m inland, across the plot there is 300 m of land that you canuse as a garden. Call for detailsTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17829331
Agricultural,7000 sq.m.,,Armavir › Mrgashat,"7,000,000 ֏",AMD,"7000 square meter vineyard for sale in Mrgashat village of Armavir marz. The vineyard was established in 2013 with the best materials. There are 360 bearaat trees of different varieties on the land. 150 pieces of kishmish, 120 pieces of Damascus palchik, 30 pieces of shahumyan, 30 pieces of cardinal, 30 pieces of mkhitari. Land has no irrigation water issues, call to find out moreTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18571949
Agricultural,2500 sq.m.,,Armavir › Echmiadzin,"$16,000",USD,"Land for sale: C. In Zvartnots district of Etchmiadzin,ADVANTAGES: There is artesian water near the plot areaIt has the ability to draw current.2500 Sq. M. , price: $16,000Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18069065
Agricultural,4800 sq.m.,,Armavir › Armavir,"3,500,000 ֏",AMD,"There are 180 5-year-old trees on the plot. The land has no water problem. Very quick, negotiable for real buyers. Some of the trees are bochka plum and the rest are victoriaTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18597351
Agricultural,1000 sq.m.,,Armavir › Metsamor,"$38,000",USD,"It is located on the main road. All utilities are available, there are fruit trees, a building (cattle barn) on 12/6, the possibility of gas. For more information call.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16992775
Agricultural,2275 sq.m.,,Armavir › Musaler,"$10,000",USD,Irrigation water and electricity are located near the land.Call or write a letter for details.UrgentTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/16443293
For Residential Development,1000 sq.m.,,"Улица М. Похосян 6, Шаумян","$10,000",USD,"Продам участок в Шаумяне. Подходит для постройки дома для постоянного проживания. Площадь 10 соток. Есть электричество, вода, газ. Расположен между городами Эчмиадзин и Аштарак.",Dec-12-2022_18-19,https://list.am/en/item/18235582
Agricultural,9000 sq.m.,,Armavir › Musaler,"$50,000",USD,"9000 square meters of agricultural land is for sale in Musaler, communications are available. The land is close to the road.Code 1325Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18046204
For Residential Development,1070 sq.m.,,Armavir › Parakar,"$10,700",USD,"Horticultural lands for sale in Parakar1070 sq. M., 1200 sq. M., 1590 sq. M. And 2300 sq. M. Land plots can very easily become areas used for residential buildings, as they are generally approved as residential areas.All 4 plots have a two-sided or three-sided facade, it is very convenient to make several adjacent houses.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16516088
Agricultural,6000 sq.m.,,"Aygek-Paraqar Highway 1, Merdzavan","$63,000",USD,A plot of land near the park roadabout 1--line water power about 2--certificate3000 sq/m each for partial saleopportunity arable landtwo-way negotiableTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18372045
For Residential Development,1600 sq.m.,"Electricity, water supply, natural gas, sewerage","Եղիշե Չարենցի փողոց 53, Արտիմետ","$17,000",USD,"It is also possible in parts! A plot of land near the house is for sale in Artimet village of Etchmiadzin (Atarbekyan), it is located at the beginning of the village, the total size is 16000 sq/m. Has the possibility of gas, electricity, water.The price is $27,000 for the initial 1,600 square metersIt is also possible in parts1 km away from Etchmiadzin cityTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18184912
For General Purpose,2000 sq.m.,,Armavir › Armavir,"40,000,000 ֏",AMD,Greenhouse farm 1800 square metersTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18006458
For Residential Development,2000 sq.m.,,Armavir › Echmiadzin,"$12,000",USD,"Residential plot of 2000 meters for sale. There are very good apple trees on the land. The plot is provided with drinking water, heating water, electricity, the plot is completely fenced.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18132650
Agricultural,3600 sq.m.,,Armavir › Musaler,"$6,500",USD,Two agricultural land plots of 1900 and 1700 square meters are for sale at an affordable price. Search water is available. Located near the airport.Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/17467479
Agricultural,5000 sq.m.,,Armavir › Merdzavan,"$60,000",USD,"5000m of land for sale, c. Near Aygek-Merdzava, with fruit trees, call for questionsTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18402330
For Residential Development,500 sq.m.,,Armavir › Echmiadzin,"$30,000",USD,City of Etchmiadzin A. ManukyanDistrict 290 / adjacent land plot. Has a certificate negotiableTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/17883503
For Residential Development,1200 sq.m.,,"Ծաղկունք 1-րդ փողոց, Բալահովիտ","$10,500",USD,"It is suitable for agricultural use and building a house. There is natural gas, water and electricity in the area. For details, call the indicated phone number. Exchange with a car is also possible. $11,000 in exchange. The price is negotiable.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16380982
For Residential Development,900 sq.m.,"Electricity, water supply, natural gas",Armavir › Merdzavan,"$19,000",USD,Land near the house 900 sq. M.Gas:Light:WaterHigh positionIn front of AsphaltTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/17730200
For Public Buildings,1200 sq.m.,,"Hanrapetutyun street, Armavir","$15,000",USD,For sale. It is land. Battle. (5th State Farm) Sardarapat. Near the restaurant. Highway. On the way. Position: He looks. Ararat. Sarin: And. Western Armenia. Details: By call.Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18313170
Agricultural,2000 sq.m.,,Armavir › Echmiadzin,"$30,000",USD,Call for all questions. Strawberry greenhouse.Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18400555
For Residential Development,1000 sq.m.,,Armavir › Arshaluys,"$5,500",USD,"Call for details, land near the house. Nearby there is an artisan at a distance of 50 meters and electricityTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18083538
For Residential Development,1100 sq.m.,,Armavir › Echmiadzin,"4,000,000 ֏",AMD,Земельный участок находится в селе Айтах 6 км от Эчмиадзина. Есть вода для полива с обеих сторон участка. Вода свет газ находятся близко от участка. Торг уместен.,Dec-12-2022_18-19,https://list.am/en/item/18708764
