Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking,Links,Construction Type
Industrial and Manufacturing,2500 sq.m.,Ararat › Nor Kharberd,"$300,000",USD,"An operating dried fruit factory with an area of 2500/1100 square meters is for saleArarat, Nor KharberdRefrigeratorDryerTwo-storey buildingSwimming poolFenceSold with all the propertyCode BB405Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/16241195,Stone
Multifunctional Space,"10,000 sq.m.","Ակսել Բակունցի փողոց, Արտաշատ","$330,000",USD,"Production area for sale ․ In Artashat.The total area is 10,000 square metersFrom which buildings:1 ․ Administrative building - 2552 ․ Production building - 1753 ․ Warehouses - 8804 ․ Workshop - 1905 ․ Office - 30:6 ․ Unfinished -307 ․ Livestock building - 3108 ․ Garages - 449 ․ Cover - 92The area is fenced.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,Second Line,Common from the Courtyard,,,,,,https://list.am/en/item/17847725,Stone
Industrial and Manufacturing,3000 sq.m.,"Հոկտեմբերյան փողոց, Շահումյան","$130,000",USD,"For sale or for rent Operating stone workshop c. Artashat str. Production hub 1/1The total area is 3,000 square meters, of which 380 square meters are buildings.It has its own transformer, the machining is flawlessTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Common from the Courtyard,,,,,,https://list.am/en/item/17854019,Stone
Retail Space,50 sq.m.,"Araz street 11, Artaxata (Artashat)","$28,000",USD,"Abundant. Owned. Very suitable for commercial or any other type of activity. And it is located in a densely populated place, it has a building permit to build 2 floors. At the moment, the foundation and the foundation have been poured, the drinking water and sewage project is still available. In short, there is no problem with paperwork. I will also exchange it for an apartment with my additional payment. CALL 96-ov hamarinTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/18052795,Monolith
Functioning Business,30 sq.m.,"Khanjyan street, Ararat","$30,000",USD,"A 30 square meter commercial apartment is for sale at Khanjyan 1-5. It is provided with constant hot and cold water, air conditioner, necessary furniture. It has a bathroom, it is sunny. There is also a refrigerator for flowers. It is suitable as a flower, beauty salon, dental clinic. For more information call:Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18249793,Stone
Multifunctional Space,1200 sq.m.,Ararat › Geghanist,"$120,000",USD,"Geghanist village, Ararat regionwith an area of 1200/250 square meterstwo-story business spaceAll rooms are available for rentThere is also a car service point1st lineCode BB1093Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18125363,Stone
Automotive Service,1700 sq.m.,"Artashat roadway 51, Dimitrov","$100,000",USD,"For sale: Operating business Car service point can serve other purposes, the total land area is 1700 sq. M. It is a meter, 200 of which are the building. The area is completely fenced with stone. It has the possibility to build a house on both sides. The area has electricity, drinking water, artisan, gas, internet, video surveillance system. The area is located on Artashat-Yerevan road, 49 Artashatyan highway, Dimitrov, Price is negotiableTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17820393,Stone
Industrial and Manufacturing,1700 sq.m.,Ararat › Artashat,"$150,000",USD,"A production area is for sale in Artashat, 300m from Yeraskh-Yerjan highway.430 m2 building1700 square meters of landCeiling height h = 6 m, assembled with trusses.Dimensions: 12x36 mThree-phase current is availableGarni waterThe gas passes byThere is a forge.It is about 100-150 m away from residential houses.The sides are factories.The land is for rentVery urgently...Special note! Only call buyers who want to get the area through the agency ․․․Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/14674837,Panels
Industrial and Manufacturing,80 sq.m.,"4-րդ փողոց, Գեղանիստ","$82,000",USD,Working workshop with all equipment.Translated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18449233,Stone
Multifunctional Space,1000 sq.m.,"Artashat roadway, Dimitrov","$120,000",USD,"Վաճառվում է կոմերցիոն տարածք Արտաշատյան խճուղու Դիմիտրով գյուղում, հիմնական ճանապարահին, խաչմերուկի վրա:Հարմար է ցանկացած գործունեության համար:Ընդհանուր մակերեսը 1000քմ, Շինության մակերեսը 665քմ:Ունի կոսմետիկ վերանորոգման կարիք. Մանրամասների համար զանգահարել.Продается коммерческая площадь в селе Димитров, Арташатянское шоссе, на главной дороге, на перекрестке.Подходит для любой деятельности.Общая площадь 1000 квадратных метров, площадь застройки 665 квадратных метров.Требуется косметический ремонт, подробности по телефону.",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17258733,Stone
Functioning Business,1600 sq.m.,Ararat › Geghanist,"30,000,000 ֏",AMD,"An operating rose greenhouse for saleThe land is 1600 m2, the greenhouse is 800 m2, another 200 m2 is added.The greenhouse has a powerful automatic heating system with its own gas Ժ 25 gas station (in case of -40 weather, the greenhouse can provide + 25)There is a fully automatic cooling system, 16 kV own station of three-phase electricity, single-phase electricity.Drip irrigation system.Glass Dutch.The area is monitored by cameras. Internet is available.There is a large building that has not been renovated, a rest room has been renovated.Ready business 12 months harvest.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17616276,Stone
Industrial and Manufacturing,380 sq.m.,"Aghbyur Serop street, Ararat","$35,000",USD,"Industrial buildingAddress: C. Ararat, 5 TpagrichneriTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17742089,Bricks
Everything Else,20 sq.m.,"Armavir Province Roadway, Hovtashat","1,000,000 ֏",AMD,It is in perfect conditionTranslated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18235205,Wooden
Everything Else,2650 sq.m.,Ararat › Ararat,"$18,000",USD,"2650 square meters total area, garden, stone house, drinking water.Cattle barn, barn, farm.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/10443131,Stone
Industrial and Manufacturing,4826 sq.m.,"Mashtots Street, Dimitrov","37,000,000 ֏",AMD,"Dimitrov village. The front length of the road is 92 meters, the total area is 4826 square meters, gas, electricity, water is near the building.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17856641,Stone
Agricultural Space,5000 sq.m.,Ararat › Ghukasavan,"$450,000",USD,"Greenhouse 4000 sq m, 1000 sq m storage area with office for saleTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18303810,Stone
Multifunctional Space,7000 sq.m.,Ararat › Nor Kharberd,"$2,250,000",USD,"A unique multi-functional public and residential area is for sale in Yerevan-Artashat highway, in Nor Kharberd.The total area of the land is 7,000 square meters.The total area of the kindergarten and residential house is 1214.5 square meters.Wall: 132 sq. M.The territory of the kindergarten consists of 3 buildings.The living area is a short distance away in a separate structure with its own outdoor stone pavilion, plantings and swimming pool.The residential house is renovated and equipped with furniture and appliances.It consists of:From the large spacious living roomFrom the kitchenFrom the bathroomFrom the saunaFrom the dressing roomIn the building of the main part of the commercial area, there is again Euro-renovated and furnished:Living roomKitchenBedroomsBathrooms and other free spaces.Apart from all this, there is a small farm next to the buildings, equipped with various animals and birds.The entire area is under video surveillance.Next to the buildings there is also a parking space for 6 cars with a roof.There is also a guard post.Code AH-K54Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17406712,Stone
Retail Space,156 sq.m.,Ararat › Argavand,"$75,000",USD,"Urgent sale of commercial space in Argavandi highway. The area is line 1 and is of public importance. It has permission to build a four-story building. Can serve as a hotel, casino, shop, etc. Price negotiable. For more information call: NarineCode 3117Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17424247,Stone
Office Space,111 sq.m.,Ararat › Ararat,"25,000,000 ֏",AMD,Near the previous stopTranslated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16999663,Stone
Industrial and Manufacturing,56 sq.m.,"Աղբյուր Սերոբի փողոց 15, Արարատ","7,500,000 ֏",AMD,"Commercial area for sale in ․ In Ararat. Has permanent water, three-phase electricity, bathroom.The area is expedient for carrying out different types of activities.It can also be used as a garage.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17326094,Stone
Industrial and Manufacturing,52 sq.m.,Ararat › Masis,"350,000 ֏",AMD,"Shelving is used for champignon mushrooms, all materials are fresh, fresh, used, all painted, 4 pieces, 3 floorsLength 3.50Width 1.20Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/14218321,Bricks
Retail Space,120 sq.m.,Ararat › Ararat,"$50,000",USD,An existing shop in the city of Ararat is for sale.Translated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18539810,Stone
Multifunctional Space,4100 sq.m.,Ararat › Darbnik,"40,000,000 ֏",AMD,"Multifunctional production area. The total area is 4100 square meters. The building is 400 square meters. Three-phase electricity, water, gas possibility. First line. The price is negotiable.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18421258,Stone
Industrial and Manufacturing,750 sq.m.,Ararat › Ghukasavan,"$8,000",USD,"Greenhouse with iron squares, is in fresh condition, only the greenhouse is for saleTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/17789734,Cassette
Functioning Business,3200 sq.m.,Ararat › Argavand,"$1,200,000",USD,"Հասցե՝ ԱրգավանդԶվարթնոց օդանավակայանի հարևանությամբՄակերես՝Հողատարածք՝ 1210 քմՇինություն 3200 քմԱրտադրատարածքը համալրված է նորագույն սարքավորումներով, գերհզոր ապառատներով, անհրաժեշտ գերժամանակակից տեխնիկաներով,Ունի սեփական արտադրանքը. Ապահոված է բարձր եկամատաբերությամբ.Ամբողջ ճակատային հատվածով գեղեցիկ վիտրաժներԱնմիջապես Առաջին գիծմեքենաների համար առանձին ավտոկայանատեղի...Առանձնատունը վաճառվում է իր Արտադրանի (Բիզնեսի) Ամբողջ Նորագույն սարքավորումների, և Նորակառույց շքեղ Առանձնատան հետ միասին,Կոդ` GS-K263",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/14948863,Stone
Multifunctional Space,,Ararat › Ararat,"500,000 ֏",AMD,Lav vichakuma normal butkaya,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/15907982,Cassette
Multifunctional Space,1000 sq.m.,Ararat › Argavand,"$350,000",USD,"A multifunctional commercial space is for sale in Argavand. The total area of the area is 1000 square meters, and the area of the building is 1500 square meters. The area is suitable for any type of activity.It is also available for rent: 1 sq. M. - 1000 AMDSelling price: 350,000 USDCode: GS-K08Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18193280,Stone
Retail Space,193 sq.m.,"Արարատյան փողոց 42/2, Վեդի","15,000,000 ֏",AMD,"For salearea in the center of Vedi (kaltsavo), frontage length 15 meters, total 193 square meters, suitable for any type of activity, has three-phase current.I will negotiate with a real buyer...Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17439671,Stone
Industrial and Manufacturing,7400 sq.m.,Ararat › Vedi,"$350,000",USD,"Վաճառվում է 7400 ք. Մ. Հողատարածք (շինություներով) Վեդի քաղաքում: Հարմար է արտադրամասի, բնակելի համալիրի, առևտրային տարածքների, ցանկացած տեսակի գործունեության համար:",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/15863221,Panels
Office Space,80 sq.m.,"Հրաչյա Թովմասյանի փողոց, Արտաշատ","$80,000",USD,"The building is adjacent to the Artashat city court. Suitable for office and any other type of activity. The area is completely renovated, provided with all utilities. There is a heated floor, it is equipped with heating and cooling systems.Translated from Armenian",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/17838283,Stone
Agricultural Space,1000 sq.m.,Ararat › Artashat,"3,200,000 ֏",AMD,2 greenhouses 36 meters long7 meters wide by 3.30 metersIn heightCall for detailsTranslated from Armenian,Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/18084675,Panels
Agricultural Space,500 sq.m.,Ararat › Norashen,"25,000,000 ֏",AMD,"I am selling a barn with an adjoining house, it is provided with water and electricity. It is for sale together with a small cattle.Translated from Armenian",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/17500665,Stone
Building,205 sq.m.,"Ստեփան Շահումյանի փողոց, Արարատ","$110,000",USD,"Commercial building for sale in Ararat ․ Suitable for restaurant, kindergarten, bank, office premises, etc. The building has two rooms and common) ․ The building is made of polished tuff, the roof is galvanized. Located in the center.P. S. NOT NEGOTIABLE.Translated from Armenian",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/17684057,Stone
Multifunctional Space,160 sq.m.,"Dprocakanner street, Masis","$80,000",USD,"A building is for sale in the city of Masis, which can be used for both commercial and residential purposes. 2 floors, each floor is 80 square meters. The price is $80,000Translated from Armenian",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/18504928,Stone
Functioning Business,100 sq.m.,Ararat › Ararat,"$70,000",USD,"""Wash Yourself"" is being promoted. It consists of 2 separate washing points, a total of 100 square meters, in front of it there is an improved area of 200 square meters, designed for drying cars մաքր vacuum cleaning. It is provided with constant water. The average monthly income is 260,000-270,000 drams...Translated from Armenian",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/17974759,Stone
Everything Else,3800 sq.m.,Ararat › Masis,"$510,000",USD,"Realty Consult ID` K 457Վաճառվում է հասարակական նշանակության համալիր՝ ԱԳԼՃԿԱրարատ, գ. Նիզամի, Մասիս-Էջմիաճին խճուղիՀողամաս՝ 3800.0 քմՇինությունների մակերեսը՝ 578.08 քմԳԻՆԸ ՝ 510.000 $Անշարժ գուքը համալրված է հետևյալ ինժեներական ցանցերով և կոմունիկացիաներով՝ ջուր, կոյուղի, էլեկտրականությունՀողամասը հարթ է, ասֆալտապատ և բարեկարգվածԱռկա է 3 լիցքավորման աշտարակ, 2 կոմպպրեսոր, 10 հատ բարձր ճնշման բալոն, սպասասրահ, շինանյութի խանութ, ավտոլվացման կետերՇինությունները գտնվում են լավ վիճակում և ենթակա են շահագործմանՇինությունների ներքին հարդարանքը գտնվում է լավ վիճակում, ենթակա է արդիականացման",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/15889348,Stone
Multifunctional Space,1400 sq.m.,Ararat › Ayntap,"105,000,000 ֏",AMD,"Business area and residential house for sale.The business area includes a cement bunker, a building materials store, a 550 kV private power station.The house is two-storey, newly renovated. Has a separate office space. There is a swimming pool and a barbecue in the yard.The whole area is monitored by cameras.Exchange with apartment or construction equipment is possibleTranslated from Armenian",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/17477706,Stone
Agricultural Space,"20,000 sq.m.",Ararat › Darakert,"$750,000",USD,"Greenhouse for sale, operating business. The total area is 20,000 sq. M., of which 4000 sq. M. Is a greenhouse, 9000 sq. M., an orchard with 700 different trees, a 60 sq. M. Newly renovated residential house, a 50 sq. M. Shelter area, a greenhouse. The entire area is gasified, single-phase electricity, 2 own artisans, the greenhouse also has a cooling system, thornless blackberry with a drip system, call for other details.Translated from Armenian",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/18206672,Stone
Industrial and Manufacturing,2900 sq.m.,Ararat › Kaghtsrashen,"$30,000",USD,"Land for sale, building 700 sq. M. Refrigerators Opportunity to make a dryerCode ga 08800Translated from Armenian",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/16805799,Stone
Building,1300 sq.m.,Ararat › Ararat,"$15,000",USD,It is in normal conditionTranslated from Armenian,Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/18360017,Stone
Functioning Business,49 sq.m.,Ararat › Artashat,"$70,000",USD,Оснавная плошад 49кв + 60кв впереди обекта + 60кв подвал даний момент ето стоматология но удобно под любой бизнес и сдам под ареду,Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/18050426,Stone
Retail Space,25 sq.m.,"Khanjyan street, Ararat","$16,000",USD,"The existing beer house is for sale. On Khanjyan street in Ararat, next to the stadium, it will be sold with equipment along with the business if desired. Call in case of questionsTranslated from Armenian",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/18305002,Stone
Multifunctional Space,487 sq.m.,Ararat › Vanashen,"$60,000",USD,"Продается многофункциональное помещение с территорией, общая площадь 2930кв. М. , площадь строения 487кв. М, потолки 8мЗдание находится в самом центре деревни Ванашен.Данное здание отлично подойдет, под различные виды бизнеса, начиная от Банкетного комплекса заканчивая складксим помещением.Юридическая документация земли позволяет использовать землю под любой вид бизнесаДата просмотра выбирается заранее, убедительная просьба предварительно позвонить.1 Собственник",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/18459439,Stone
Warehouse,18 sq.m.,Ararat › Vedi,"$8,000",USD,Fruit refrigerator in the yard of an apartment building.Translated from Armenian,Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/17967388,Stone
Multifunctional Space,480 sq.m.,Ararat › Ararat,"$300,000",USD,"Three-storey commercial building for sale in Ararat, suitable for any activityFor details, call the given number on WhatsAppTranslated from Armenian",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/16236111,Stone
Retail Space,6 sq.m.,"Araratyan street 2nd Lane, Երևան","300,000 ֏",AMD,Budka cottageSuitable for tradeTranslated from Armenian,Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/18449281,Cassette
Agricultural Space,3800 sq.m.,"H-10, Ոսկետափ","$5,000",USD,"VERY URGENT NEGOTIABLEUrgent orchard for sale, provided with irrigation water. There are peach and apricot trees. It is located near the main road Nor Kyanq - Vosketap.For more information call!Translated from Armenian",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/17820696,Wooden
Retail Space,30 sq.m.,Ararat › Ayntap,"$4,000",USD,"For sale: A shop with a portable overhead crane, also an exchange with an equivalent car, with an additional fee from me or you, all the walls are made of sandwich panels, it can also serve as a refrigeratorTranslated from Armenian",Dec-12-2022_20-38,,,,,,,,,,https://list.am/en/item/18436327,Cassette
