Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments
Restaurant,Stone,600 sq.m.,,,,,Kotayk › Dzoraghbyur,"$200,000",USD,"Code-14430: Commercial area for sale in a bakery in Dzoraghbyur. There are 4 open-air pavilions, 3 private rooms, a well-maintained yard, a parking lot. Exchange with another commercial area in the city is possible. The area is 600 square meters + 800 square meters.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17343845,,,,
Retail Space,Stone,43 sq.m.,Not available,Not available,Second Line,Common from the Street,"Hanrapetutian Avenue, Abovyan","$80,000",USD,It is located in the territory of the cinema building. In front of the station. It has constant water and a separate bathroomCurrently leasedA very good place for any activity in a hurryTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/15581535,,,,
Functioning Business,Stone,3000 sq.m.,Not available,Not available,First Line,Common from the Street,"Eghvard highway 1, Yerevan","$200,000",USD,Urgent sale of a cattle barn with a tangled coffin which has all the conveniences of a part-time sale partial saleTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/16749812,,,,
Retail Space,Stone,45 sq.m.,Available,Not available,Second Line,Separate from the Street,"3rd microdistrict, Abovyan","$55,000",USD,"FOR SALE OR RENTThe building for sale is located next to the post office of the 3rd micro. It has been completely renovated. It has water, a bathroom, electricity. It has 46 square meters in the back of the building. M privatized territory.The building can be used for any purpose. It is even possible to build a residential house.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16230529,,,,
Industrial and Manufacturing,Stone,3650 sq.m.,,,,,Kotayk › Abovian,"$150,000",USD,"Հողատարածքը գտնվում է Երևանից 12 կմ հեռավորության վրա։ Հողի ընդհանուր մակերեսը 3650ք. Մ, որից 1600ք. Մ արտադրական պարսպապատ, շենքի մակերեսը 550 ք. Մ պլյուս 150։ Հողատարածքում գտնվում է 450 խնձորի ծառ 3 տարեկան։Եռաֆազ ` Հոսանք, ջուր, կոյուղի ։ Հողատարածքը գտնվում է առաջին գիծ ` Մայրուղու վրա։ Նախագծով կառուցվել է որպես սառնարան և արտադրամաս։ԳԻՆԸ ՊԱՅՄԱՆԱԳՐԱՅԻՆ։ (ՍԵՓԱԿԱՆԱՏԻՐՈՋԻՑ)ՇՏԱՊ ՎԱՃԱՌՔProduction area 12 km from Yerevan 3650 sq. M. , of which 1600 sq. M. Is fenced, 700 sq. M. Building. There are 450 3-year-old apple trees in the area. It is provided with three-phase electricity, water and sewerage. Designed as a refrigeration area. Located on the highway. Price is negotiableفروش فوری. کارخانهارمنستان. ابویاننوساز. زیرقیمت. بااب. و. برق زیرقیمتکل. زمین 3650مترکه 1600 متر ان کارخانه ساخته شده سالن 750متر450 متر حیاط درخت سیب 3 سالهدیوار کشی شده برجاده",Nov-24-2022_17-55,,https://list.am/en/item/17248898,,,,
Retail Space,Wooden,5 sq.m.,,,,,Kotayk › Yeghvard,"$1,500",USD,Գտնվում է թարմ վիճակում,Nov-24-2022_17-55,,https://list.am/en/item/17352215,,,,
Retail Space,Stone,100 sq.m.,,,,,Kotayk › Yeghvard,"22,000,000 ֏",AMD,First line on the main road! The total land area is 100 square meters! The building is 50 square metersTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18177865,,,,
Retail Space,Stone,30 sq.m.,,,,,Kotayk › Abovian,"$42,000",USD,"A shop is for sale in Abovyan city.Cosmetic repair,The windows are made in Europe.All communications are available.RailingsTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18100709,,,,
Multifunctional Space,Stone,2626 sq.m.,Not available,Not available,First Line,Separate from the Street,"Երևանյան խճուղի 3, Սևան","$1,000,000",USD,"Commercial area for sale near the first line of Yerjan Xyan highway, first lineThe total land area is 2626 square metersThe total area of the building is 920 square metersTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17275761,,,,
Retail Space,Stone,1200 sq.m.,,,,,Kotayk › Arinj,"$130,000",USD,"Կոդ՝ D-14155Վաճառվում է կոմերցիոն տարածք Առինջ գյուղում 1 հարկանի քարե/մոնոլիտ շենքի 1-ին հարկում։ Տարածքը միջին վերանորոգված է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ պրեսգրանիտ, սալիկապատ, էլ․ լարերը և խողովակները՝ փոխված։ Ունի ավտոկայանատեղ, սանհանգույց, խոհանոց, կահույք, տեխնիկա, ջեռուցման համակարգ, մշտական ջուր և գազ։Գործակալության միջնորդավճարը կազմում է 2%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A commercial area for sale in Arinj village. The area is middle renovated and is located on the ground floor of the 1-storey stone/monolith building. The entrance door is iron-made, the windows are euro-based, the floor is covered by solid granite and is tiled, the electric wires and pipes are newly changed. The area has a parking, bathroom, kitchen, furniture, technical devices, heating system and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You․",Nov-24-2022_17-55,,https://list.am/en/item/16668569,,,,
Everything Else,Stone,3900 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Arzni,"$195,000",USD,"M-22503Վաճառվում է 3900 քմ. Կոմերցիոն տարածք Արզնիում: Տարածքը կապիտալ վերանորոգված է: Պատուհանները՝ եվրո, հատակը՝ սալիկապատ: Ունի 3մ պարիսպ, ավտոկայանատեղի բակում, օֆիսային տեխնիկա, եռաֆազ հոսանք, ջեռուցման համակարգ, մշտական ջուր և գազ: Ճակատի երկարությունը 40 մ:Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A 3900 sq. M commercial area for sale in Arzni. The area is newly renovated. The windows are euro-based, the floor is tiled. It has fence, parking in the yard, office technique, three-phased electricity, heating system and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_17-55,,https://list.am/en/item/18026630,,,,
Everything Else,Cassette,8 sq.m.,,,,,"Աղբյուրակ թաղամաս 2, Հրազդան","700,000 ֏",AMD,"Cabin for sale, metal construction, fresh condition, call for detailsTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18247703,,,,
Building,Stone,400 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Hrazdan,"$20,000",USD,"It is in sufficient condition, has water, gas and sewerage. The price is negotiable. For details, call or apply by letter. For sale or rent, there is a mechanical mud of the brushTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/12025445,,,,
Multifunctional Space,Stone,1800 sq.m.,,,,,Kotayk › Abovian,"$550,000",USD,"A 4-storey stone building is for sale1800 square meters In total area,The building is suitable for any type of activity,FencedTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18108094,,,,
Industrial and Manufacturing,Stone,3000 sq.m.,,,,,"Գիտության Միջանցք փողոց 4, Զովունի","$100,000",USD,Property and equipment are for sale WITHOUT PREMISES. For more information callGreenhouseGreenhousegreenhouseTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/15686390,,,,
Functioning Business,Stone,"17,000 sq.m.",Available,Not available,Second Line,Common from the Street,Kotayk › Abovian,"210,000,000 ֏",AMD,"Ջերմոց 6000մ ապակե նոր կառուցված։ Ավտոճանապարհից 50մ, Հատիս սարի փեշին, Ընդհանուր հողի մակերեսը 17000 մ2․ Նշված գումարից 110 մլն դրամը անտոկոս վարկ է, կվճարվի 5 տարում։ Վաճառքի պահին կվճարվի 98 000 000 դրամПарник на 6000м2. Земля 17000 м. Кв Построен в 2021-ом году. От цены, 112 мл. Драм безпроцентный кридит, можно оплатить за 5 лет. На момент прод. 98 млн, 50м от автодороги, на склоне горы Атис",Nov-24-2022_17-55,,https://list.am/en/item/16893250,,,,
Functioning Business,Stone,"20,000 sq.m.",Not available,Not available,Second Line,Separate from the Street,Kotayk › Karashamb,"$350,000",USD,Land for sale or rent with 20000 sq. M. Orchards and ornamental gardensFish lakes 1500 sq. M.Warehouse 160 sq. M.Rest pavilionnatural spring watersThe total area is 5 hectaresThe area is located in Karashamb village on the bank of Hrazdan riverTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/16596135,,,,
Retail Space,Stone,120 sq.m.,,,,,Kotayk › Charentsavan,"$40,000",USD,"Fully renovated, three-phase electricity, drinking water, 2 basements.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18165986,,,,
Multifunctional Space,Panels,305 sq.m.,,,,,"Hanrapetutian Avenue 4, Abovyan","$114,000",USD,"• For sale for 49,000,000 AMD.• The public area is located in In Abovyan, near the intersection of Yerkhanyan and Hanrapetutyan streets, on the 1st floor of a 9-storey bank building, it occupies the total 1st floor area of the building, the actual 4 sides of the building are the given area.• Located very close to the main street, on the 2nd line, in a densely populated area.It is a very convenient area for social activities.• Condition to be repaired, subject to overhaul.Ceiling height is about 2.75 mAddress: Kotayk region, c. Abovyan, Republic Avenue 4 building.• Building details:Target significance: PublicThe area is 304-9Type of right: Property• FOR MORE INFORMATION CALL• YOU CAN GET TO KNOW OTHER ANNOUNCEMENTS BY PASSING MY PAGE.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17199418,,,,
Retail Space,Stone,55 sq.m.,Available,Not available,First Line,Common from the Courtyard,Kotayk › Abovian,"$80,000",USD,"Abovyan, Avagyan streetExisting production space for sale in Abovyan city, 1 line, 55 sq/m.Code 0900110Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18248929,,,,
Retail Space,Monolith,200 sq.m.,,,,,"Տարտու փողոց 1/2, Աբովյան","$160,000",USD,HasBucks systemStorage spaceBathroomEuro repairTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18234902,,,,
Automotive Service,Stone,235 sq.m.,,,,,Kotayk › Kasagh,"$65,000",USD,"Address: Ashtarak highwayBuilding type: StoneArea: 235 m2Land 235 m. Q.Building 140 m.Car repair boxes5 tons. Dangrat,Yama,three-phase currentWater,bathroom:Price: $ 65,000Code: AH-K140:Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/15118608,,,,
Hotel,Monolith,3800 sq.m.,,,,,"Charents street, Ծաղկաձոր","$1,100,000",USD,"A three-storey hotel complex is for sale in Tsakhkadzor, Kotayk region. The total area of the land is 3800 square meters. Is. The hotel has a total of 20 hotel rooms, consisting of 1.2 and 3 rooms. The hotel is fully renovated. It is provided with all the communal amenities. The yard of the complex is fenced with greenery. There are 2 cottages in the area adjacent to the hotel, each with an area of 140 square meters. There is also a two-storey private house in the territory of the complex. The hotel complex is located on the roadside.Code 10580Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16694261,,,,
