Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links,Construction Type
Multifunctional Space,435 sq.m.,"Զվարթնոց թաղամաս 249, Վաղարշապատ","$85,000",USD,For sale and exchange with a house: A 2-story bakery in the Zvartnots district of Etchmiadzin.Meaning of the area: PRODUCTIVEGreat hall3 closed rooms4 outdoor pavilionsKitchenBasement hallBathroomThe fountainUtilitiesBarbecue3 entrancesDoors and windows EuroThe surfaceLand area: 435 square metersBuildings: 160 square metersTranslated from Armenian,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18463804,Stone
Retail Space,387 sq.m.,Armavir › Echmiadzin,"69,000,000 ֏",AMD,It is in good conditionTranslated from Armenian,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17825945,Stone
Functioning Business,100 sq.m.,Armavir › Echmiadzin,"$130,000",USD,"Code 17375An existing hair salon is for sale in the center of Etchmiadzin. All the necessary property and equipment for work are available, as well as a cab, heated floor, bathroom, back entrance, parking space, etc. Moreover, the price with property/technique and equipment will be 150,000, but buying with equipment will be much more affordable, because they cost incomparably more than the difference in the mentioned price. By the way, an option of exchange with an apartment is also considered.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,Covered parking,,,,,https://list.am/en/item/17793820,Stone
Multifunctional Space,294 sq.m.,Armavir › Merdzavan,"$90,000",USD,"Commercial space that serves as a workshop, renovated.For more information callNegotiablePayment in installmentsTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17979149,Stone
Everything Else,70 sq.m.,Armavir › Echmiadzin,"$25,000",USD,"Stone building in Haytagh village (Mashtots 5), located on the central street, used gas station, all legal documents are available for reopening, building conditions are in very good condition... Price is negotiable.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18109226,Stone
Agricultural Space,1300 sq.m.,Armavir › Dasht,"$170,000",USD,"A working greenhouse for sale, in accordance with European standards, with an area of 1200 square meters.In the area there is a comfortable newly built stone building with a kitchen and a bedroom, fully furnished. The area of the building is 100 square meters.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18112451,Stone
Functioning Business,"10,000 sq.m.",Armavir › Sardarapat,"$1,200,000",USD,"Code T280:An operating business is for sale in Talvorik community. The total area is 58,000 square meters. There are 15,460 fruit trees in the area: Cherries, apricots, peaches, prunes. There is also ․ in the area substation, negative temperature and ordinary refrigerators, security watchtowers, drying and packaging plant, artesian water, light, gas.Code T-280Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/17046565,Stone
Functioning Business,5600 sq.m.,Armavir › Echmiadzin,"$85,000",USD,"An operating business center is for saleAddress K. Echmiadzin village ShahumyanThe building area is 430 square meters, of which 90 square meters is voluntaryLand 1500 sq. M. Production Has storage There is gas, light, water Three-phase electricity Has air conditioner Has an orchard -3911 sq. M.Fire:Code H095Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17789682,Stone
Everything Else,191 sq.m.,Armavir › Merdzavan,"$100,000",USD,"Code K160Commercial space for sale in Merdzavan. It has a parking lot, permanent water, electricity. The entrance door is iron, the windows are wooden. Very suitable for various activities.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18554440,Stone
Industrial and Manufacturing,2000 sq.m.,Armavir › Armavir,"$45,000",USD,"For sale or rent, dried fruit factory in Hoktemberyan Hoktemberyan village, a very convenient place for drying, total 2000 sq. M. M, 300 sq. M. M building, has an elevator, 40 sq. M. M refrigerator, 30 sq. M. M smoking, 1000 kg. Electric dryer with capacity, 900 pieces, etc. , with all amenitiesTranslated from Armenian",Dec-12-2022_20-36,Available,Available,Other,Common from the Street,,,,,,https://list.am/en/item/14935663,Stone
Functioning Business,9000 sq.m.,"Echmiatsin Highway, Khoronk","$350,000",USD,"Region: ArmavirCity: Etchmiadzin (20 km from Yerevan city, 1 km from Tsaghkunk village)Total land area: 9,000 square metersTotal building area: 210 square metersOPERATING flower greenhouse 2000 square meters (Rose and lisianthus)It is built with modern construction and has a drip irrigation system.OPERATING greenhouse 2000 square meters (Tomatoes and cucumbers)It is built with modern construction and has a drip irrigation system.Orchard 4000 square meters, 220 trees (black plum and cherry)1 Refrigerator 20 square meters (for flowers, fruits or vegetables)Auxiliary building 70 square metersBasement area 60 square meters3 water wells2 boiler houses1 swimming pool (semi-structured)Gas powered (gas heated and high pressure)Land Designation: Residential development (next to the house)The land is privatized.The area is equipped with drinking water, irrigation water, three-phase electricity.The mansion consists of:Total area 90 square meters1 lobby1 living room1 Kitchen2 bedrooms1 Bathroom1 parking space (yard)The house is equipped with gas, permanent water.It has individual heating;The area is completely fenced with a stone wall.PART SALE ALSO POSSIBLE!Code 10672403Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Second Line,Separate from the Street,"Outdoor parking, covered parking, garage",,,,,https://list.am/en/item/10672403,Stone
Industrial and Manufacturing,5024 sq.m.,Armavir › Mayisyan,"38,371,000 ֏",AMD,"The property is a collateral of the Bank, which is in the Bankruptcy auction.Armavir region, c ․ Mayisyan Yerjan-Armavir highway 11 address, lake - 5024 square meters, platforms - 99.4 square meters (columns) 16 pieces, land - 1.1132 hectares, there is artesian water, electricity electricity.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Separate from the Courtyard,,,,,,https://list.am/en/item/16765347,Stone
Everything Else,217 sq.m.,Armavir › Jrashen,"1,779,500 ֏",AMD,"The property is the Bank's collateral, which is in the BANKRUPTCY auction.Armavir region, c ․ Jrashen, 13th st. Livestock building located at No. 13, 217-3 square meters, land plot - 0.1313 hectares. The cattle building is one-storey, lined with tuff stone, has a wooden roof and has no roof. The barn is not decorated. Some of the doors are wooden and some are metal. The land is flat, partially demarcated from the surrounding areas.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and actions will be performed by the successful bidder.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Separate from the Courtyard,,,,,,https://list.am/en/item/16775256,Stone
Restaurant,1800 sq.m.,Armavir › Tairov,"$1,200,000",USD,"Selling this beautiful 2 Story Banquet Hall minutes away from Yerevan Airport. Great Location! The banquet hall has over 600 square meters on ground floor and another 600 square meters top floor each floor can occupy guest up to 260 people. Fully functional kitchen with gas stove, 5 refrigerators, BBQ area and guest and personal bathrooms. Total lot 1800 Square Meters. Must see Great Opportunity! Low Price!Продам этот красивый 2-этажный банкетный зал в нескольких минутах езды от аэропорта Еревана. Отличное Расположение! Банкетный зал имеет более 600 квадратных метров на первом этаже и еще 600 квадратных метров на верхнем этаже, каждый этаж может вместить до 260 человек. Полностью функциональная кухня с газовой плитой, 5 холодильниками, зоной барбекю и гостевыми и личными ванными комнатами. Общая площадь участка 1800 квадратных метров. Должен увидеть отличную возможность! Низкая цена!Վաճառվում է 2 հարկանի քարե շենք։ 1 հարկում հարսանյաց սրահն է որը զբաղեցնում է մոտ 260 հոգի, հետևում գտնվում է խոհանոցը իր ամեն ինչով։ 2 հարկը ազատ տարածք է որը կարող եք օգտագործել բիզնես նպատակներով։",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18065066,Stone
Everything Else,50 sq.m.,Armavir › Echmiadzin,"10,000 ֏",AMD,"For details, call nuber hamarov or viberTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/4907737,Stone
Retail Space,240 sq.m.,Armavir › Armavir,"$80,000",USD,"Located in c. Bambakashat, near the central road near the school, is for rent.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17318172,Stone
Functioning Business,400 sq.m.,Armavir › Metsamor,"$160,000",USD,"Existing business, gas station and car wash for sale. The gas station is equipped with all the necessary accessories, sells gasoline and diesel, has a free plot of land in the back, which can be used for any other activity. The location of the gas station is very convenient, it has many opportunities to develop and increase profitability at this time. Call for detailed information.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18581385,Stone
Industrial and Manufacturing,69 sq.m.,Armavir › Echmiadzin,"$35,000",USD,"ԿիդT185Վաճառվում է խանութ-կոմերցիոն տարածք Էջմիածնի Չարենց թաղամասում՝այգու մոտակայքում։1-ին հարկՀասարակական նշանակությունՊաշտպանված է ճաղավանդակովՈւնի նաև ետնամուտքԿոմունալ հարմարություններՀանգստի սենյակՍանհանգույցՍալիկապատՄակերեսը՝68,5քմ",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/14782172,Stone
Retail Space,1020 sq.m.,Armavir › Parakar,"$1,200,000",USD,"• Realty Consult ID: K 553• Commercial complex for sale / rent URGENTLY• Parakar-Tairov, Mayrakatihayin street• Land: 1020 square meters,• Main building area: 1682 square meters, 2 floors, also basement• The area of the utility building: 363.4 square meters• PRICE: $1,200,000• SALARY: $5,000• The real estate is equipped with the following engineering networks and communications: Gas, water, sewage, electricity, heating system.• The building is in good condition and is subject to operation.• The interior decoration of the building is in good condition.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18526160,Stone
Automotive Service,24 sq.m.,"Erevanyan street, Armavir","$18,000",USD,A car service station with 2 parking spaces is for saleCall for detailsTranslated from Armenian,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18296139,Panels
Functioning Business,3000 sq.m.,"Երիտասարդության փողոց, Մերձավան","$120,000",USD,"Operating stone factory for sale, with all its communal facilities, has its own power with 400kw capacity, water, 3 cutting machines (015, 014, 056), grinding machine (shififovalni), 2 angle cutters (chrome carving), 2 chisels, 120 sq. M. Warehouse administrative area, of which 60 sq. M. Is a furniture workshop. Total 3000 square meters, fenced, divided into two equal parts by a fence, which will allow partial sale. The workshop is located in Merdzavan (Parakar) near the airport road. There are various types of hardware, motors, saws and other materials. If you wish, I will also sell ANI TUFI mine licensed for 50 years. Price: $ 120,000- $ 800,000, depending on which part of the institution you are interested in. Cooperation with a share is possible.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/13231753,Stone
Functioning Business,3500 sq.m.,"Մարգարա խճուղի 24, Վաղարշապատ","$140,000",USD,"There are 5 large swimming pools in the area, including a large number of fish, Ishkhan, Belamor, Sazan, etc. Համար for small fish with 3 small poolsThere are lakes1000 square meters, greenhouse500 sq. M., semi-constructed greenhouseresidential building about 40 sq. M. Մ.Constant drinking water, artisan water, three-phase electricity,he criedpoultry house 30 m. Q. Closed and 30 sq. M. Մ. Open spaceThere are more than 100 different fruit trees in the area. Apricot, Apple, Popcorn, Cherry, PlumThe price also includes 400 Pigs, 70 of which are mothersfish!The total area is 3.5 hectaresfor sale very UrgentlyTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/13066434,Stone
Retail Space,1800 sq.m.,"Էջմիածին փողոց 124, Պտղունք","$1,200,000",USD,"Yerevan Etchmiadzin highway near Zvartnots settlement, 3-storey commercial space, warehouse, commercial space renovatedEjmiacin, Musaler, Erevanyan37, Musaler 1140, ArmeniaCode 0103Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18349566,Stone
Industrial and Manufacturing,2800 sq.m.,Armavir › Echmiadzin,"$200,000",USD,"House-production area (poultry farm) for sale in Echmiadzin, Armavir region. The total land area is 2800 square meters for the building - 800 square meters. It is designed to keep 15,000 chickens in cages, and it is possible to keep 10,000 chickens in floor barns.There is a pig farm for 50-60 pigs.Is available. Constant drinking water. Artesian water. Three-phase electricity. Production area gas. House gas. Fruit garden. Grape vinesThe area is also suitable for other activities.In the case of a real buyer, it is possible to bargain. The area is for rent.Code 17801592Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17801592,Stone
Multifunctional Space,500 sq.m.,"Улица Баграмяна 99, Вагаршапат","$210,000",USD,For sale.EtchmiadzinBaghramyan 101/1Baghramyan 101/2Translated from Armenian,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18264533,Monolith
Retail Space,145 sq.m.,"Misak Manushyan street 1, Vagharshapat","$29,000",USD,"Urgent.Privatized land of public importance in Zvartnots, right next to Yerevan-Echmiadzin bus stop, very good location, first line, for business,For more information callTranslated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/14905728,Stone
Retail Space,60 sq.m.,"Չարենցի փողոց, Վաղարշապատ","$70,000",USD,"The area is located on a busy street, on the First Line, it has all the communal facilities. The area is currently rented for 150,000 drams.The area has a spare part and a bathroom, the floor is heated.Security cameras are installed.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17479028,Stone
Retail Space,95 sq.m.,"Charents street, Vagharshapat","$130,000",USD,"The area includes two separate pavilions, both of which are for rent, have three-phase electricity, gas, bathrooms, air conditioning, and all utilities.The area has a basement, which is suitable for any workshop, the height of the basement is 2.6 meters, the area is 38m. Four.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18275306,Stone
Multifunctional Space,435 sq.m.,"Զվարթնոց թաղամաս, Վաղարշապատ","$85,000",USD,Zvartnots district. Exchange with the apartment. Of industrial significance. On facebook Real Estate in Etchmiadzin - Ansharj guyq EjmiacnumCode K-8160Translated from Armenian,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17455128,Stone
Agricultural Space,"10,000 sq.m.",Armavir › Echmiadzin,"$22,000",USD,It has a lot of utilitiesLight drinking waterIrrigation waterFarm:Carriage:UrgentTranslated from Armenian,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17452087,Stone
Agricultural Space,612 sq.m.,Armavir › Norakert,"$90,000",USD,"Cattle farm for sale, total area 7300 square meters, building 612 square meters, guard house, 50 square meters area, drinking and irrigation water and electricity. It is also possible to exchange for a car or real estate in Yerevan.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,Other,Separate from the Street,Outdoor parking,,,,,https://list.am/en/item/18067719,Panels
Industrial and Manufacturing,1000 sq.m.,"Տերյան փողոց, Վաղարշապատ","$75,000",USD,"Car service building 280 square meters. 20 m frontage. Parking. Three-phase current, sir. Gas, water attached.Code KE-7577Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18105855,Stone
Industrial and Manufacturing,300 sq.m.,"Patkanyan Street, Vagharshapat","$50,000",USD,"Տարածքը հարմար է բիզնեսի, արտադրության և պահեստի համար:",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/15281374,Stone
Retail Space,107 sq.m.,"Erevanyan street, Armavir","$85,000",USD,"The building is suitable for trade and office transactions, there is a tire, battery, and wheel shop next door, a car paint shop on the other side, there is a ssn junction in the building, a manager's office and a basement room that can be used as a warehouse. It is possible to exchange for an expensive car, or to exchange the city for an apartment in Yerevan.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18514591,Stone
Retail Space,80 sq.m.,Armavir › Metsamor,"$35,000",USD,"Three-phase electricity, water, sewer gas under the wallThe building was built for a three-story project, the rest with a bellTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17068339,Panels
Retail Space,50 sq.m.,Armavir › Metsamor,"$28,000",USD,"Existing business for sale c. For details in Metsamor, call.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18503898,Stone
Industrial and Manufacturing,800 sq.m.,Armavir › Armavir,"40,000,000 ֏",AMD,"The area of the building is 400 square meters, and the land area is 400 square meters.There is three-phase electricity, water and sewage.Call for details.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18069288,Stone
Functioning Business,250 sq.m.,"Abovyan street, Armavir","$75,000",USD,"Existing business space for sale with stable income. The area is 250 square meters, there is a beauty salon, a car repair shop in the area. For more information callA separate sale is also possible.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/11930773,Stone
Industrial and Manufacturing,3000 sq.m.,"Գետափի փողոց 1, Արգավանդ","$350,000",USD,"Workshop for urgent saleNext to the Argavandi cemetery. The total area is 3000 sq/m. There are buildings of 450 sq/m on the area. Gas, electricity and water are connected to the area. The price is negotiable.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18285045,Stone
Retail Space,10 sq.m.,"Vazgen Arajin street, Vagharshapat","60,000 ֏",AMD,"It can be used for selling fruits and vegetables, flowers, economic products. It has an air conditioner.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18470846,Stone
Retail Space,120 sq.m.,Armavir › Metsamor,"17,000,000 ֏",AMD,Продаётся помещение 120кв/м. Мецамор напротив 1- ой школы.,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18154423,Stone
Multifunctional Space,400 sq.m.,Armavir › Armavir,"$250,000",USD,"A building is for sale at 5/3 Armavir street. Suitable for any type of activity. Ceiling height 5 m, front 41 m. It is provided with three-phase electricity, water and sewerage.Negotiable:Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17316271,Stone
Everything Else,600 sq.m.,Armavir › Echmiadzin,"$600,000",USD,"Կոդ՝ K-16773Վաճառվում է 4 հարկանի կոմերցիոն տարածք Վազգեն Առաջին փողոցում։ Տարածքը վերանորոգման փուլում է, առաջին գիծ։ Պատուհանները՝ եվրո։ Ունի օդափոխության համակարգ, մշտական ջուր և գազ։ Մուտքը՝ փողոցից։ Տեսարանը՝ դեպի բակ և փողոց։ Վարձը՝ պայմանագրային։ Հնարավոր է նաև մասնակի վարձակալություն։Գործակալության միջնորդավճարը կազմում է 2%: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A commercial area for sale in Vazgen the First Street. The area is in the renovation process and is stationed on the 1st line. The windows are euro-based․The area has a ventilation system and is supplied with constant water and gas. The entrance is from the street. The view is directed towards the yard and street. The rent price is conditional. Partial rent is also possible.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/13202768,Stone
Retail Space,104 sq.m.,"Mesrop Mashtots street 22, Vagharshapat","50,000,000 ֏",AMD,"The area is located under the 22 Mashtots building in Etchmiadzin, the front line is a functioning shop, the mentioned price is for the area, if you want the product, the product will be counted at very convenient prices, for details a visit to the area is desirable.Translated from Armenian",Dec-12-2022_20-37,By agreement,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/16568645,Panels
