Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Links,Condition,Service Lines,Facilities
Country House,Stone,150 sq.m.,1,4,1,Major Renovation,150 sq.m.,,,,,,Gegharkunik › Sevan,"35,000 ֏ daily",AMD,"Lavanda city - ում օրավարձով է տրվում հարմարավետ քոթեջ իր բոլոր հարմարություններով։Մշտական տաք և սառը ջուր, խոհանոց /գազ/, սառնարան, 2 ննջարան։Ունի ընդարձակ բակ, ունի բեսետկա, մանղալ, ավտոկայանատեղի։Հրաշալի տարբերակ ընտանեկան լիարժեք հանգստի համար։Сдаётся одноэтажный дом на озере Севана. В сосновом лесу. От озера до дома 200 метров ходьбы.Дом расположен в районе ""Лаванда Сити"".В доме комфорт и уют. В доме один сан узел, горячая и холодная вода, три спальни, кухня и зал. В доме есть всё необходимое для отдыха и проживания. В доме тепло и уют. Во дворе есть беседка для пикника. А также есть катер в в своём расположении. Территория охраняемая, есть пропускной пункт.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18048387,,,
Country House,Bricks,100 sq.m.,1,3,1,Designer Renovation,500 sq.m.,8+,Yes,Yes,By Agreement,By Agreement,Gegharkunik › Sevan,"35,000 ֏ daily",AMD,"Guest House (Cabin) is for daily rent. The guest house is located on the shore of Lake Sevan, in the village of Tsovazard. It has communal facilities, a kitchen with its own kitchen utensils, a bathroom, two bedrooms, a large living room for 10 people, a toaster, a grill and a fireplace in the living room. For more information call: Discounts apply for long term rentals.Translated from Armenian",Nov-24-2022_22-58,,Not available,,,https://list.am/en/item/17866926,,,
House,Stone,3000 sq.m.,1,3,1,Old Renovation,2800 sq.m.,1,Yes,Yes,Included,Without prepayment,Gegharkunik › Shoghakat,"25,000 ֏ monthly",AMD,"It is close to Lake Sevan, has a large plot of land, has an orchard, 2 storerooms, a barn.Translated from Armenian",Nov-24-2022_22-58,Available,1 spot,,,https://list.am/en/item/18242673,,,
House,Stone,54 sq.m.,1,2,1,Major Renovation,472 sq.m.,8+,Yes,No,By Agreement,By Agreement,Gegharkunik › Sevan,"23,000 ֏ daily",AMD,"New Year's prices are now available.A beautiful and comfortable cottage on the shore of Lake Sevan is for daily rent. They have 2 bedrooms, living room-kitchen. They have a pavilion and barbecue in the yard.Code Raymond5Translated from Armenian",Nov-24-2022_22-58,Available,2 spots,,,https://list.am/en/item/17931355,,,
Country House,Stone,110 sq.m.,1,3,1,No Renovation,1500 sq.m.,,,,,,Gegharkunik › Sevan,"10,000 ֏ daily",AMD,"One-story stone house in Drakhtik village, the house is 200 meters from Seana lake, there is gas and electricity, it is very breezy, it is quiet, the nearby beach is very convenient, call for details, in case of long term, the price is negotiable.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18052815,,,
House,Stone,72 sq.m.,1,2,1,Designer Renovation,150 sq.m.,8+,Yes,No,By Agreement,By Agreement,Gegharkunik › Sevan,"60,000 ֏ daily",AMD,"Penisula Summer House:Comfortable cottage on the shore of Lake Sevan. The cottage has all the necessary facilities for a good stay. The cottage has 2 bedrooms, living room, kitchen and bathroom. Here you will spend an unforgettable vacation, because the cottage is located right on the shore of the lake. The cottage has a gazebo and a very nice view of the lake, as well as a swing and a great place to sit.Code SummerHTranslated from Armenian",Nov-24-2022_22-58,By agreement,Not available,,,https://list.am/en/item/16583959,,,
House,Stone,78 sq.m.,1,3,1,Euro Renovation,1200 sq.m.,5,Yes,No,By Agreement,By Agreement,"Երևանյան խճուղի 3, Սևան","20,000 ֏ daily",AMD,"Yaso Land:On the right side of the Sevan-Yerevan highway, in the shade of trees, these newly built stone cottages are an ideal option for family vacations. They are intended for 2 and 5 persons.There will be discounts for 3-day reservations.Search tags: Sevan, private house in Sevan, private house for 5 people.For details, please call, mentioning the option name: Yaso Land.Translated from Armenian",Nov-24-2022_22-58,By agreement,2 spots,,,https://list.am/en/item/16564803,,,
House,Stone,100 sq.m.,1,2,1,Major Renovation,900 sq.m.,7,Yes,Yes,Not included,Without prepayment,Gegharkunik › Sevan,"150,000 ֏ daily",AMD,"3-ех комнатный дом от собственника на 6-7 человек могут свободно жить, очень выгодна для две семи, вся техника и мебель новая, расход на отоплений на хозяина, wi fi, огород, беседка мангал во дворе, место для парковки машины, спокойный район на длительный срок можно и скидку.",Nov-24-2022_22-58,Available,1 spot,,,https://list.am/en/item/17886978,,,
House,Stone,100 sq.m.,1,2,1,Euro Renovation,300 sq.m.,5,Yes,Yes,Not included,By Agreement,Gegharkunik › Sevan,"180,000 ֏ monthly",AMD,Сдаётся частный дом со всеми удобствами и коммуникацией мебелей и техникой можно и по суточному,Nov-24-2022_22-58,Available,1 spot,,,https://list.am/en/item/18063648,,,
Country House,Stone,35 sq.m.,1,2,1,Partial Renovation,100 sq.m.,3,Yes,No,Included,By Agreement,"Նաիրյան փողոց 165, Սևան","20,000 ֏ daily",AMD,A cottage is for rent on the banks of Sevan. Chkalovka community on the youth bankTranslated from Armenian,Nov-24-2022_22-58,Available,Not available,,,https://list.am/en/item/18049752,,,
House,Stone,50 sq.m.,1,3,1,Euro Renovation,2000 sq.m.,,,,,,Gegharkunik › Sevan,"40,000 ֏ daily",AMD,"Newly built cottage, two bedrooms, kitchen, 1 km from Sevan Lake in the Lavender City recreation area.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18012395,,,
Country House,Stone,55 sq.m.,1,3,1,Euro Renovation,,,,,,,Gegharkunik › Sevan,"60,000 ֏ daily",AMD,"A country house with all amenities is for rent on the island of Sevan. There is constant hot and cold water. The kitchen is equipped with necessary spaak and pots. In the yard there is a barbecue, a pavilion (бессетка) and a swing.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18120599,,,
Country House,Stone,800 sq.m.,2,6,2,Cosmetic Renovation,1500 sq.m.,,,,,,Gegharkunik › Vardenis,"5,000 ֏ daily",AMD,"MonaVard guest house  Vegetable garden and orchardOvernight stayPing-pongBatmitonchessCheckers, dominoeslong shot boarda large library️ Parking  Wi-Fi:20,000 drams for a group without overnight stay,Overnight: 5000 AMD per personAddress: C. Vardenis H. Arzoyan street 3 lane, house 7We are waiting for you with loveTranslated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18173008,,,
Country House,Stone,203 sq.m.,1,4,2,Major Renovation,300 sq.m.,5,Yes,No,By Agreement,By Agreement,Gegharkunik › Sevan,"15,000 ֏ daily",AMD,Сдаю 2 комнатный котедж в Севане (Гехама) Даю суточно и по месячному цена по договорурядом с озером Севан,Nov-24-2022_22-58,Available,Not available,"TElevision, internet, barbecue oven","FRidge, coffee maker, washing machine, iron, hair dryer",https://list.am/en/item/18133864,,,
House,Monolith,250 sq.m.,2,6,2,Major Renovation,700 sq.m.,8+,Yes,No,Not included,2 months,Gegharkunik › Sevan,"800,000 ֏ monthly",AMD,"6-room private house is for rent in Shan city, the house is newly renovated, heated by baxi system, hot and cold water around the clock, has 2 bathrooms, balcony, 800 sq. M. Yard. , it is also possible for a daily rent of AMD 80,000Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17509365,,,
House,Stone,90 sq.m.,2,3,1,Partial Renovation,12 sq.m.,,,,,,Gegharkunik › Sevan,"20,000 ֏ daily",AMD,"The apartment is for rent, a two-storey private house, with constant hot and cold water, 2 km away from the sea, on St. Gavar road, the house will be given to the family. The first floor is given. The 2nd floor is not renovated.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17675034,,,
Country House,Stone,80 sq.m.,1,3,1,Designer Renovation,,,,,,,"Yerevanyan highway, Սևան","15,000 ֏ daily",AMD,"Spend your vacation in the cozy corner of Sean.In the forest beauty, a comfortable and warm house covered with white snow will be waiting for your family.The house is designed for up to 6 people, it has:2 bedrooms1 large living roomBathroomKitchenBalcony:As he is provided with all the necessary items.HURRY, SEATS ARE LIMITED.You can call for a reservationSpend your vacation in the cozy and cozy corner of Sean.In #LavendacityWe have discounts for more than two daysCottages for daily rent1 furnished living room,WIFI is available in the cottages2 bedroomskitchenwith all the necessary accessories,One bathroom.Has a balcony.Equipped with necessary dishes and linen.With heating systemPlayground.Summer pavilion.Barbecue, necessary items for making barbecue.Parking.We have discounts for more than 2 daysGuard post.# Holidays#vacation# Family vacation# The best place for a family vacation# daily houses# for daily rent# daily house# daily rent for a private house# սևանալիճ:#lakesevan:#oravardzorqotejner:#oravarcovsevanumqotejner:# սևանումքոթեջ:# daily rental cottagesHoliday homesrest houseFamily vacationprivate houses for daily rentfor daily rentprivate house for daily renta private house for daily rentLake Sanaain the cottageCottages for daily rentTranslated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/15769509,,,
House,Stone,66 sq.m.,4+,4,1,Major Renovation,,,,,,,Gegharkunik › Gavar,"65,000 ֏ monthly",AMD,"A 4-room apartment with all utilities, equipment and property is for rentTranslated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18353894,,,
Country House,Stone,80 sq.m.,1,3,1,Designer Renovation,200 sq.m.,6,Yes,Yes,By Agreement,By Agreement,Gegharkunik › Sevan,"38,000 ֏ daily",AMD,"Cottage for rent in Lavanda City closed district. By the way, the entrance is only with the permission of the security guard. The homeowner warns in advance. The cottage is designed for 4-5 people. The distance from the shore is 600 metersSuitable for family and collective events. The cottage has all the amenities for your rest. Good rest. Without a mediatorTranslated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17944078,,,
