Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Furniture,Window Views,Appliances,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
Stone,Yes,Not available,4.0,40 sq.m.,1,1,from 2.8 m,4.0,Not available,Cosmetic Renovation,Shirak › Gyumri,"$24,000",USD,"With all utilities, heating system, basement. Located in Mush 2/2 district, 44 buildings, 1 entrance, 11 apartments.Translated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18265837,,,,,,
Stone,No,Not available,4.0,80 sq.m.,3,3+,from 2.7 m,1.0,Closed balcony,Partial Renovation,"Artak Episkopos Smbatyan Street 10, Gyumri","$31,000",USD,"A 3-room apartment is for sale in Yerevan highway, it has an opening on the street side, it can serve as a trade and service facility, 2 bathrooms, hot and cold water, heating, in the garden there is a garage with a basement. Privatized.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18307222,,,,,,
Stone,No,Not available,2.0,160 sq.m.,5,2,from 3.5 m,2.0,Multiple balconies,Designer Renovation,"Haghtanak Avenue, Gyumri","$220,000",USD,"A two-story capital renovated designer-style apartment is for sale, in the heart of the city (Hatsatun Gyumri) next to a cafe, there are 2 open balconies, one of which overlooks the center, Gorku street and Bagratunyats Ring, the total area is 160 square meters.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18368016,,,,,,
Stone,No,Not available,2.0,100 sq.m.,4,2,from 3 m,2.0,Open balcony,Euro Renovation,"Ջիվանի փողոց 64, Գյումրի","50,000,000 ֏",AMD,"В центре города, на улице Руставели после капитального ремонта сдаётся или продаётся четырёхкомнатная квартира, удобная для проживания или под офис, стоимость одной комнаты за сутки от 15,000 драм, вся квартира сдаётся от 30,000 -40,000 драм в сутки, при долговременном арендовании цена договорная, со всеми коммунальными удобствами, с двумя санузлами. Имеется кабельное телевидение, Wi-Fi, широкий балкон.Цена квартиры 50.000.000 драмов",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18329164,,,,,,
Monolith,No,Not available,4.0,92 sq.m.,3,1,from 2.8 m,3.0,Multiple balconies,Partial Renovation,"7th street 14, Gyumri","$35,000",USD,"Цена договорная, На вопросу звоните",Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/17835091,,,,,,
Stone,No,Not available,3.0,70 sq.m.,3,1,from 3 m,1.0,Closed balcony,No Renovation,"Yerevan Highway, Gyumri","$16,000",USD,"Վաճառվում է 3-սենյականոց բնակարան ք. Գյումրի, Երևանյան խճուղի հասցեյում: Բնակարանն ունի նկուղ մոտ 20ք/մ մակերեսով՝ մուտքը բնակարանի ներսից: Բնակարանն ունի կապիտալ վերանորոգման կարիք: Հարևանությամբ գործում են 2 հատ դպրոց:Продается 3-х комнатная квартира в г. Гюмри, на Ереванском шоссе. В квартире есть подвал площадью около 20 кв/м, вход изнутри квартиры. Квартира требует капитального ремонта. В районе 2 школы.3-room apartment for sale in Gyumri, at Yerevan highway. The apartment has a basement with an area of about 20 sq/m, the entrance is from inside the apartment. The apartment needs major renovation. There are 2 schools in the neighborhood.",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18367951,,,,,,
Stone,No,Not available,5.0,60 sq.m.,3,1,from 2.8 m,4.0,Open balcony,Major Renovation,Shirak › Gyumri,"$43,600",USD,"Urgent Address: Building 157, Yerevanyan highway, Capital renovated. Do not call out of contextTranslated from Armenian",Nov-25-2022_14-09,PLayground,OUtdoor parking,Available,,,https://list.am/en/item/17930807,,,,,,
Monolith,No,Not available,4.0,120 sq.m.,4,1,from 2.8 m,2.0,Multiple balconies,Major Renovation,"Trdat Architector street 20, Gyumri","$68,000",USD,With all utilitiesEast-west warm apartmentThere is a basement!Possible long-term rent:Translated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/17854307,,,,,,
Stone,Yes,Not available,3.0,82 sq.m.,3,1,from 2.7 m,1.0,Open balcony,Old Renovation,Shirak › Akhuryan,"$13,000",USD,"All utility facilities. The house has a basement yesterday. He has a navel. Yesterday it is on the first floor of a multi-storey building. Unek stone garage dimensions 10 meters long;6 meters wide, the price is negotiable. Shenk is 2000. It is a very strong building. ( (The building is Nor Akhuryan)) The garage is not included in the price of the house.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/16493161,,,,,,
Stone,Yes,Not available,3.0,65 sq.m.,2,1,from 3 m,3.0,Open balcony,Euro Renovation,"Ankakhutyan Street, Artik","$25,000",USD,"2-room renovated apartment with property in Artik, the price is negotiable, the most important thing, pay in cash, it is not closed, call, I will adjust the priceSERINETranslated from Armenian",Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/17007779,,,,,,
Stone,No,Not available,2.0,160 sq.m.,4,1,from 2.7 m,2.0,Multiple balconies,Designer Renovation,"Proshyan Street, Gyumri","$50,000",USD,"An apartment is for sale in a textile district (73 Proshyan street), with a garage in front of the 2nd school, with a structure on the garage (lodge), which is connected to the apartment by a bridge. The apartment has 4 rooms, not counting the kitchen and the bathroom. The renovation is old but not state-owned. On one side there are European windows. It is a very big, bright and warm apartment. The garage is very big, and the structure on it is very convenient to use as a commercial area for business, there was a sewing workshop and a bakery. The house is privatized. If you have any questions, please call. The price is a little adjustable.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/15986942,,,,,,
Monolith,No,Not available,4.0,98 sq.m.,5,2,from 2.7 m,4.0,Multiple balconies,No Renovation,"Trdat Architector street, Gyumri","$28,500",USD,Двух этажная квартира дуплекс. Занимает 3.4 этаж дома. Нуждается в ремонте. Имеет сад с фруктовыми деревьями во дворе здания. Торг уместен после просмотра. Дом находится в начале 58. Квартала.,Nov-25-2022_14-09,,,,,,https://list.am/en/item/17215259,,,,,,
Monolith,No,Not available,4.0,97 sq.m.,4,2,from 3 m,4.0,Closed balcony,No Renovation,"Trdat Architector street 6, Gyumri","$28,000",USD,"A spacious 4-room apartment is for sale in Ani district (58 district), Trdat Chartapet 6 building, the apartment has 2 floors, 4 and 5 floors. In the yard of the building there is a large garden with fruit trees. The apartment is in state condition.Exchange with an apartment in Yerevan is possible.Translated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/17166752,,,,,,
Stone,No,Not available,5.0,42 sq.m.,2,1,from 2.8 m,5.0,Open balcony,Euro Renovation,"Հաղթանակի պողոտա 4, Գյումրի","$47,000",USD,"It is located in the center of Gyumri city, next to the court building. Euro-style, tiled, with an open balcony. I will exchange with a similar apartment in Yerevan. Also 180 thousand drams per month.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18096104,,,,,,
Stone,No,Not available,5.0,63 sq.m.,3,1,from 2.8 m,3.0,Not available,Cosmetic Renovation,"1-ին փողոց 9, Աշոցք","$20,000",USD,The bathroom was partially renovated. It has a gas heating system. It has 2 garages and 1 barn.Translated from Armenian,Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/17333095,,,,,,
Stone,No,Not available,4.0,80 sq.m.,3,1,from 2.75 m,4.0,Open balcony,Partial Renovation,Shirak › Artik,"$21,000",USD,"3-room apartment for sale in c. In Artik Lmbat 1st district (near Chulochni) The apartment is in a clean condition, it is air-conditioned, heating system is installed. It has 2 open balconies, a large and comfortable kitchen. It has a basement. The sale is possible together with the furniture.Translated from Armenian",Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/17765048,,,,,,
Stone,No,Not available,3.0,99 sq.m.,3,1,from 3 m,3.0,Open balcony,Major Renovation,"Սայաթ-Նովա փողոց 2, Գյումրի","$120,000",USD,"Վաճառվում է 3 սենյականոց բնակարան Գյումրի քաղաքի սրտում, Սայաթ-Նովա փողոցում, ստալինյան նախագիծ, կապիտալ վերանորոգում:",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/16239629,,,,,,
Monolith,No,Not available,4.0,101 sq.m.,4,1,from 2.7 m,4.0,Not available,Designer Renovation,Shirak › Gyumri,"$50,000",USD,Гюмри 58 район ул. 34 комнатный квартираКапиталный окни все откроется двухсторонний ։ պատուհանները փոխված են բացվում են երկողմ։по дагаворенностьи,Nov-25-2022_14-09,,,,,,https://list.am/en/item/15768419,,,,,,
Stone,No,Not available,3.0,80 sq.m.,3,1,from 2.7 m,3.0,Open balcony,Cosmetic Renovation,Shirak › Artik,"9,000,000 ֏",AMD,"An apartment is for sale in Lmbat 1 district of Artik city. The apartment is very bright and spacious. It has an open balcony, a basement, an attic and a garden, etc.Very good apartment.Not urgent, but hurry:))Translated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/12406888,,,,,,
Stone,Yes,Not available,4.0,43 sq.m.,1,1,from 2.8 m,2.0,Not available,Euro Renovation,Shirak › Gyumri,"$20,000",USD,Very urgent 1-room apartment for sale in Mush district of GyumriTranslated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/17783708,,,,,,
Stone,No,Not available,2.0,50 sq.m.,2,1,from 3.5 m,2.0,Not available,Designer Renovation,"Улица Ширакаци 13/38, Гюмри","$34,500",USD,Продается квартира прямо у 8ого военного городка удобно под гостевой домОкна дерево пол дубовый паркет,Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/17884929,,,,,,
Monolith,Yes,Not available,3.0,80 sq.m.,3,1,from 2.8 m,3.0,Multiple balconies,No Renovation,"Aram Khachatryan Street, Gyumri","15,000,000 ֏",AMD,"The apartment is in state condition, it is provided with constant light, water and gas, the outside door is iron, the apartment is located in district 58, next to the Pedagogical Institute, for other details, call the indicated phone numberTranslated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18308208,,,,,,
Stone,Yes,Not available,5.0,58 sq.m.,3,1,from 2.7 m,5.0,Closed balcony,Old Renovation,"Tonakanyan Street 26, Artik","$16,000",USD,"The quarter is located next to the newly built church, two rooms with a sign, bright, shining, normal condition, gas, water heaterTranslated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17816636,,,,,,
Stone,No,Not available,5.0,60 sq.m.,2,1,from 2.8 m,5.0,Open balcony,Cosmetic Renovation,"Կոշտոյան փողոց 5/1, Գյումրի","$25,000",USD,"The apartment is located on Koshtoyan street, has all utilities, sunny side, has a basement in the yard, for details call the indicated phone number.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18047245,,,,,,
Stone,Yes,Not available,5.0,80 sq.m.,3,1,from 2.7 m,4.0,Closed balcony,Partial Renovation,"Խրիմյան Հայրիկ , Գյումրի","$44,000",USD,"A 3.5-room apartment is for sale, the building is located a few 100m away from the newly built Friendship Park, the yard of the building, the road leading to the building, the road adjacent to the building and the sidewalks have been thoroughly repaired. 24h water, gas, heated with skyurel boiler.Along with the garage.Translated from Armenian",Nov-25-2022_14-09,,"OUtdoor parking, garage",By agreement,"YArd view, view of ararat",,https://list.am/en/item/18247867,,,,,,
Panels,No,Not available,3.0,67 sq.m.,2,1,from 2.6 m,3.0,Multiple balconies,Partial Renovation,"Ghandilyan street, Gyumri","$27,000",USD,"The apartment of 67 square meters is partially renovated, gas, permanent water is available, the apartment has a large open balcony on 5.60/1 meter, three separate balconies with closed euro windows 3.15/1.50 and 2.25/1.55, it is suitable for children, there is a separate room with a view and space on the porch if you want to rent a car with a very ideal project The hot water system is at home and the turbo is there, I will turn it on. CALL USUAL VIVATranslated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/17531607,,,,,,
